name, state, date, time
New York, NY, 11/5/20, 11:37
New York, NY, 10/21/20, 17:52
New York, NY, 3/30/20, 13:59
New York, NY, 12/28/19, 15:06
New York, NY, 12/25/19, 14:34
New York City, NY, 12/18/19, 07:02
New York, NY, 12/11/19, 04:46
New York, NY, 12/5/19, 06:48
New York, NY, 10/31/19, 05:12
New York, NY, 10/28/19, 05:25
New York City (Bronx), NY, 10/24/15, 05:30
New York City (GW Bridge), , 1/18/13, 00:00
New York City (Manhattan), NY, 4/23/12, 21:46
New York City (Bronx), NY, 4/10/09, 02:23
New York City (Brooklyn), NY, 8/31/08, 22:15
New York City (Manhattan), NY, 6/21/08, 18:45
New York City (Bronx), , 6/30/06, 00:00
New York City (Forest Hills), NY, 9/1/04, 02:30
New York City (Brooklyn), NY, 10/20/73, 00:00
New York City (Bronx), NY, 3/1/59, 23:00
New York, NY, 11/9/20, 17:20
New York City (Brooklyn), NY, 11/10/18, 06:03
New York City (Brooklyn), NY, 11/9/18, 06:00
New York City (Manhattan), NY, 6/21/17, 17:00
New York City, NY, 10/19/16, 16:08
New York City (Bronx), NY, 8/30/16, 20:00
New York City (Brooklyn), NY, 3/8/16, 11:45
New York City, NY, 9/17/15, 14:00
New York City, NY, 9/5/15, 00:00
New York City (Bronx), NY, 3/22/15, 22:00
New York City (Queesn)(Jamaica), NY, 6/29/14, 22:13
New York City (Astoria; Queens), NY, 10/4/13, 20:30
New York City (Queens), NY, 12/14/12, 05:00
New York City (Bronx), NY, 11/1/11, 00:00
New York City (Brooklyn), NY, 5/14/11, 02:50
New York City (Bronx) (Yankee Stadium), NY, 7/17/10, 00:00
New York City (Bronx), NY, 8/25/08, 09:30
New York City (Brooklyn), NY, 10/2/06, 17:00
New York City (Brooklyn), NY, 5/25/19, 20:19
New York City (Brooklyn), NY, 11/8/03, 21:15
New York City (Bronx), NY, 3/17/87, 21:00
New York City (Manhattan), NY, 1/17/21, 12:33
New York City, NY, 10/15/19, 07:00
New York City (Brooklyn), NY, 9/20/19, 15:30
New York City, NY, 5/22/19, 20:37
New York City (Manhattan), NY, 7/16/17, 10:20
New York City (Brooklyn), NY, 1/12/17, 18:45
New York City (Bronx), NY, 11/18/16, 08:25
New York City (Manhattan), NY, 9/28/15, 18:00
New York City (Bronx), NY, 1/23/15, 10:00
New York City (Fresh Meadows; Queens), NY, 8/22/12, 20:05
New York City (Queens; Bayside), NY, 4/2/12, 05:00
New York City (Queens Village), NY, 6/1/10, 17:40
New York City (Brooklyn), NY, 6/19/09, 08:44
New York City (upstate), NY, 10/6/07, 04:00
New York City (Staten Island), NY, 9/22/06, 04:00
New York City (Brooklyn), NY, 4/29/06, 19:30
New York City (Brooklyn), NY, 5/20/02, 11:30
New York City (Staten Island), NY, 6/1/87, 15:00
New York, NY, 8/25/20, 20:33
New York, NY, 8/15/20, 17:00
New York City (Bronx), NY, 5/12/20, 20:28
New York City, PA, 3/8/20, 23:00
New York, NY, 2/21/20, 20:00
New York City (Bronx), NY, 2/19/20, 16:00
New York City (Queens), NY, 10/7/19, 06:00
New York City (Bronx), NY, 8/27/19, 21:45
New York City (Manhattan), NY, 8/20/19, 03:00
New York City, NY, 5/18/18, 22:00
New York City (Brooklyn), NY, 12/10/17, 00:30
New York City, NY, 9/15/17, 17:00
New York City (Brooklyn), NY, 8/27/17, 01:09
New York City (Queens), NY, 3/25/17, 21:50
New York, NY, 12/21/16, 03:00
New York City (Brooklyn), NY, 11/22/16, 11:29
New York, NY, 8/30/16, 02:45
New York City (Bronx), NY, 7/17/16, 21:00
New York City, NY, 6/18/16, 23:40
New York, NY, 5/21/16, 12:50
New York City, NY, 5/20/16, 22:30
New York City (Brooklyn), NY, 9/18/15, 01:00
New York City, NY, 8/22/15, 22:12
New York City (Manhattan), NY, 8/22/15, 00:00
New York City (Bronx), NY, 7/12/15, 20:35
New York City (Manhattan), NY, 7/4/15, 22:30
New York City (Ridgewood; Queens), NY, 9/30/14, 00:00
New York City (Brooklyn), NY, 8/29/14, 21:40
New York City (Brooklyn), NY, 8/23/14, 21:10
New York City, NY, 6/30/14, 07:00
New York City, NY, 6/7/14, 19:30
New York City (Queens), NY, 2/8/14, 22:30
New York City (Queens), NY, 2/6/14, 21:00
New York City (Brooklyn), NY, 2/1/14, 20:00
New York City (Bronx), NY, 8/24/13, 21:00
New York City (Bronx), NY, 7/8/13, 17:20
New York City (Brooklyn), NY, 7/30/12, 16:00
New York City (Brooklyn), NY, 11/26/11, 23:15
New York City, NY, 11/3/11, 19:30
New York City, NY, 4/15/11, 23:50
New York City (Times Square), NY, 3/4/11, 11:20
New York City (Staten Island), NY, 12/15/10, 06:30
New York City (Manhattan), NY, 10/18/10, 01:00
New York City (Central Park), NY, 8/9/10, 15:00
New York City (Staten Island), NY, 12/12/09, 23:00
New York City (Brooklyn), NY, 10/30/09, 15:00
New York, NY, 10/9/09, 09:00
New York City (Brooklyn), NY, 4/26/09, 17:00
New York City (Queens), NY, 11/23/07, 04:30
New York City, NY, 6/23/07, 17:00
New York City (Central Park), NY, 5/5/07, 16:00
New York City (Brooklyn), NY, 5/1/07, 03:00
New York City (Queens), NY, 3/14/07, 05:00
New York City (Bronx), NY, 2/26/07, 07:30
New York City (Staten Island), NY, 1/23/07, 16:30
New York City (Bronx), NY, 12/3/06, 17:00
New York City (Bronx), NY, 8/20/06, 00:00
New York City (Brooklyn), NY, 7/28/06, 12:00
New York City (Staten Island), NY, 7/1/95, 00:00
New York City (Brooklyn), NY, 5/1/91, 01:00
New York City (Staten Island), NY, 9/20/88, 18:00
New York City (Glen Oaks)(Queens), NY, 8/12/68, 20:00
New York City (Bronx), NY, 6/30/66, 05:00
New York City (Richmond Hills) (Queens), NY, 10/3/63, 21:00
New York City, NY, 8/8/20, 00:00
New York City (Brooklyn), NY, 8/8/20, 17:00
New York City, NY, 11/16/19, 15:09
New York City (Manhattan), NY, 12/14/09, 20:30
New York City, NY, 2/2/08, 06:20
New York City, NY, 2/27/07, 22:30
New York City (Manhattan), NY, 3/29/61, 00:00
New York City (Queens), NY, 9/13/14, 22:20
New York City (Brooklyn), NY, 3/11/14, 11:00
New York City (Brooklyn), NY, 1/20/14, 17:00
New York, NY, 4/7/11, 09:00
New York City, NY, 4/21/09, 09:05
New York City (Staten Island), NY, 9/19/08, 20:30
New York City (Manhattan), NY, 11/3/07, 15:20
New York City (Staten Island), NY, 10/15/97, 15:00
New York City (Brooklyn), NY, 10/14/16, 11:00
New York City (Brooklyn), NY, 10/27/15, 05:00
New York City (Manhattan), NY, 10/6/15, 19:15
New York City (Staten Island), NY, 3/12/09, 01:30
New York City (Brooklyn), NY, 8/29/20, 17:00
New York Staten Island, NY, 5/30/20, 23:15
