"city","state","lat","lng"
"Irmo","SC","34.086058","-81.183247"
"Sanford","FL","28.800795","-81.273111"
"Imperial","MO","38.341267","-90.393405"
"Jonesboro","AR","35.838393","-90.710505"
"Oaklandon","IN","39.872799","-85.956902"
"Spokane","WA","47.658999","-117.425022"
"SantaBarbara","CA","34.420867","-119.698342"
"Midland","TX","31.997433","-102.078043"
"Wichita","KS","37.686024","-97.335571"
"Norwalk","CT","41.11805","-73.412906"
"Windham","OH","41.23506","-81.037093"
"PineCity","NY","42.036701","-76.869698"
"Nashville","TN","36.166687","-86.779932"
"Doylestown","PA","40.309997","-75.130507"
"Whately","MA","42.444757","-72.625761"
"Hanover","MD","39.192799","-76.724403"
"Erie","CO","40.051548","-105.047448"
"Springfield","MO","37.215521","-93.292361"
"Uvalde","TX","29.210991","-99.786769"
"Eads","TN","35.204399","-89.6492"
"WestChazy","NY","44.820601","-73.508579"
"Youngstown","OH","41.100083","-80.649387"
"Milwaukee","OR","45.445525","-122.64162"
"KansasCity","MO","39.099792","-94.578559"
"Iceland","","64.990005","-18.59289"
"Boise","ID","43.615791","-116.201579"
"Franklin","KY","36.722098","-86.577996"
"Furlong","PA","40.296101","-75.082497"
"CouncilBluffs","IA","41.258963","-95.85436"
"Newburgh","IN","37.945284","-87.405102"
"Payson","IL","39.817443","-91.241838"
"Charleston","SC","32.77647","-79.931027"
"Northbrook","IL","42.130979","-87.831558"
"St.Louis","MO","38.630276","-90.200309"
"MountlakeTerrace","WA","47.7883","-122.307503"
"StarValley","AZ","34.263878","-111.221482"
"ShowLow","AZ","34.25428","-110.028693"
"Fishers","IN","39.956783","-86.015547"
"RoyalPalmBeach","FL","26.701765","-80.229441"
"Marietta","GA","33.952304","-84.549051"
"NorthPort","FL","27.042196","-82.236681"
"Garrettsville","OH","41.284142","-81.096879"
"??","OH","40.415534","-82.70936"
"PortAngeles","WA","48.128465","-123.474065"
"Towsan","MD","39.401814","-76.602736"
"Keene","NH","42.933677","-72.278255"
"Elizabeth","CO","39.359622","-104.601003"
"Clarksville","TN","36.527278","-87.360338"
"Newington","CT","41.698002","-72.723843"
"Lawrenceville","GA","33.955","-83.988245"
"Brookings","OR","42.058504","-124.293156"
"GrandJunction","CO","39.067379","-108.570816"
"Trenton","NJ","40.220572","-74.759709"
"SantaClaus","IN","38.121616","-86.923855"
"OrmondBeach","FL","29.319025","-81.098428"
"Edmonds","WA","47.811617","-122.376643"
"Mt.Vernon","IN","37.932174","-87.89558"
"Ajax","ON","43.851592","-79.02153"
"Columbia","MO","38.951551","-92.328594"
"KingsPark","NY","40.884351","-73.253766"
"FarmingtonHills","MI","42.485645","-83.357869"
"RoundRock","TX","30.508556","-97.678805"
"Manchester","CT","41.770668","-72.520868"
"Gardena","CA","33.883764","-118.309144"
"St.Peter","MN","44.323871","-93.959297"
"Towson","MD","39.401814","-76.602736"
"Garretsville","OH","41.284142","-81.096879"
"PortStJohn","","28.476212","-80.788513"
"Helotes","TX","29.576603","-98.689755"
"Houston","TX","29.760803","-95.369506"
"LordsValley","PA","41.3675","-75.062798"
"Delmar","MD","38.455155","-75.579981"
"Stockton","CA","37.957541","-121.292451"
"Hanover","MA","42.114335","-70.820126"
"Ajax(Canada)","ON","45.697526","-81.846246"
"Kenmore","WA","47.758572","-122.252815"
"Naubinway","MI","46.094691","-85.446878"
"Deweyville","UT","41.71013","-112.090249"
"Lacey","WA","47.043299","-122.823152"
"OakHarbor","WA","48.293245","-122.643297"
"London","","51.507276","-0.12766"
"Brownwood","TX","31.718757","-98.986454"
"Seguin","","29.580782","-97.968526"
"Springfield","OH","39.924581","-83.810137"
"Portland","OR","45.516018","-122.681425"
"LosAltos","CA","37.384991","-122.107347"
"Laurelville","OH","39.470782","-82.737229"
"Belgrade","MT","45.776196","-111.177155"
"Wyoming","DE","39.118327","-75.559515"
"Scappoose","OR","45.757691","-122.877114"
"Oxnard","CA","34.197663","-119.175947"
"Milan","NY","41.962503","-73.789077"
"Helena","MT","46.59107","-112.020458"
"VeroBeach","FL","27.638883","-80.38908"
"NewYork","NY","40.713054","-74.007228"
"Lilesville","NC","34.968712","-79.989368"
"Littlerock","CA","34.518732","-117.992473"
"Seattle","WA","47.603229","-122.33028"
"Tyler","TX","32.350763","-95.300644"
"Millerton","PA","41.984876","-76.937148"
"Valera","TX","31.7528","-99.546898"
"Beaufort","SC","32.42931","-80.686724"
"Littlerock","AR","34.748745","-92.275105"
"FederalWay","WA","47.315177","-122.334658"
"CenterConway","NH","43.994701","-71.061401"
"HiltonBeach(Canada)","ON","43.623879","-79.941689"
"Davy","WV","37.478125","-81.653176"
"Spencerville","KS","39.932499","-96.936096"
"Independence","MO","39.093659","-94.412017"
"Aliquippa","PA","40.612175","-80.255143"
"Schererville","IN","41.492461","-87.446698"
"MountLaurel","NJ","39.957386","-74.925393"
"Merced","CA","37.306968","-120.481971"
"Dyersburg","TN","36.034422","-89.385421"
"Coldwater","MI","41.940611","-85.000721"
"VirginiaBeach","VA","36.845117","-75.975518"
"Oaklandon","KS","37.605835","-97.297356"
"Wayne","NJ","40.927178","-74.231046"
"Marblehead","MA","42.495748","-70.863318"
"Roseneath(Canada)","ON","44.16981","-78.09399"
"Firestone","CO","40.115886","-104.935262"
"WallaWalla","WA","46.065552","-118.333644"
