"USAF","WBAN","STATION_NAME","CTRY","ST","CALL,,"LAT","LNG","ELEV(M)","BEGIN","END"
"990062","99999","ENVIRONM BUOY 52081          ","US","  ","    ","+00,000","+138,000","+0000.0","20041227","20041227"
"990066","99999","ENVIRON BUOY 52303           ","  ","  ","    ","+00,000","+170,000","+0000.0","20041103","20041103"
"990075","99999","ENVIRON BUOY 15004           ","  ","  ","    ","+00,000","-023,000","+0000.0","20041001","20041001"
"990076","99999","ENVIRON BUOY 31001           ","  ","  ","    ","+00,000","-035,000","+0000.0","20041110","20041110"
"990080","99999","MOORED BUOY 43011            ","  ","  ","    ","+12,000","-095,000","+0000.0","19730102","19960304"
"990100","99999","ENVIRONM BUOY 52301          ","  ","  ","    ","+02,000","+147,000","+0000.0","20040909","20041230"
"990113","99999","ENVIRON BUOY 15005           ","  ","  ","    ","-02,000","-010,000","+0000.0","20040923","20040923"
"990115","99999","ATLAS BUOY / FREVO           ","US","  ","    ","+04,000","-038,000","+0000.0","20041016","20041016"
"990166","99999","BUOY 62094 / M5 SOUTH EAST   ","US","  ","    ","+51,650","-006,700","+0005.0","20080101","20081231"
"990170","99999","SHIP C7L/LIMA                ","US","  ","    ","+57,000","-020,000","+0000.0","19750716","20020601"
"990174","99999","BUOY 51028                   ","KR","  ","    ","+00,000","-153,913","+0000.0","20040907","20081231"
"990179","99999","NORTH MID GULF 110NM SOUTH OF","US","  ","    ","+27,500","-090,460","+0000.0","20040907","20041231"
"990180","99999","SHIP C7M/MIKE                ","US","  ","    ","+66,000","+002,000","+0010.0","19730101","20041224"
"990181","99999","DATA BUOY 46008              ","US","  ","    ","+57,100","-151,700","+0010.0","20041129","20041227"
"990200","99999","AMI -RESEARCH VESSE          ","  ","  ","    ","+71,500","+019,000","+0000.0","20160202","20160212"
"990210","99999","DISCONTINUED 810622          ","CA","  ","C7P ","+50,000","-145,000","+0000.0","19730101","19810624"
"990230","99999","SHIP C7R/ROMEO               ","US","  ","    ","+47,000","-017,000","+0000.0","19750716","20020303"
"990250","99999","SHIP C7T/TANGO               ","US","  ","    ","+29,000","+135,017","+0000.0","19750822","19970607"
"990900","99999","FORMER MIKE                  ","  ","  ","    ","+66,000","+002,000","+0000.0","20160202","20160212"
"990920","99999","FIXED                        ","US","  ","    ","+09,200","+101,400","+0000.0","20010123","20130430"
"991180","99999","RUSSIAN ICE ISLAND           ","US","  ","    ","+00,000","+000,000","+0000.0","20011104","20011104"
"991190","99999","RUSSIAN ICE ISLAND           ","US","  ","    ","+00,000","+000,000","+0000.0","20020329","20020329"
"991200","99999","RUSSIAN ICE ISLAND           ","US","  ","    ","+00,000","+000,000","+0000.0","20020516","20020516"
"992000","99999","DATA BUOY 42037              ","US","  ","    ","+24,500","-081,400","+0003.0","19950114","19961119"
"992010","99999","DRIFTING NOMAD BUOY 41001    ","  ","  ","    ","   ,   ","    ,   ","       ","19771002","20081231"
"992020","99999","NW HAWAII 170 NM WEST NORTHWE","US","  ","    ","+23,430","-162,210","+0000.0","19810625","20081231"
"992030","99999","GULF OF AK 88NM SOUTH OF KODI","US","  ","    ","+56,300","-148,170","+0000.0","19760916","20081231"
"992040","99999","MID GULF 180 NM SOUTH OF SOUT","US","  ","    ","+25,840","-089,660","+0000.0","19771021","20081231"
"992050","99999","CALIFORNIA - 357NM WEST OF SA","US","  ","    ","+37,980","-130,000","+0000.0","19771026","20081231"
"992060","99999","ENVIRONM BUOY 46041          ","US","  ","DB20","+47,400","-124,500","+0003.0","19790914","19970303"
"992070","99999","HOTEL 200NM EAST OF CAPE MAY ","US","  ","    ","+38,470","-070,560","+0000.0","19771026","20081231"
"992080","99999","BUZZARD'S BAY                ","US","  ","    ","+41,400","-071,080","+0012.0","19800120","20041025"
"992090","99999","MID SUPERIOR 60NM NORTH NORTH","US","  ","    ","+48,070","-087,780","+0183.0","19790815","20081114"
