USAF,WBAN,STATION_NAME,CTRY,ST,CALL,LAT,LNG,ELEV(M),BEGIN,END
990062,99999,ENVIRONM BUOY 52081          ,US,  ,    ,0,138,+0000.0,20041227,20041227
990115,99999,ATLAS BUOY / FREVO           ,US,  ,    ,4,-38.000,+0000.0,20041016,20041016
990166,99999,BUOY 62094 / M5 SOUTH EAST   ,US,  ,    ,51.65,-6.700,+0005.0,20080101,20081231
990170,99999,SHIP C7L/LIMA                ,US,  ,    ,57,-20.000,+0000.0,19750716,20020601
990179,99999,NORTH MID GULF 110NM SOUTH OF,US,  ,    ,27.5,-90.460,+0000.0,20040907,20041231
990180,99999,SHIP C7M/MIKE                ,US,  ,    ,66,2,+0010.0,19730101,20041224
990181,99999,DATA BUOY 46008              ,US,  ,    ,57.1,-151.700,+0010.0,20041129,20041227
990230,99999,SHIP C7R/ROMEO               ,US,  ,    ,47,-17.000,+0000.0,19750716,20020303
990250,99999,SHIP C7T/TANGO               ,US,  ,    ,29,135.017,+0000.0,19750822,19970607
990920,99999,FIXED                        ,US,  ,    ,9.2,101.4,+0000.0,20010123,20130430
991180,99999,RUSSIAN ICE ISLAND           ,US,  ,    ,0,0,+0000.0,20011104,20011104
991190,99999,RUSSIAN ICE ISLAND           ,US,  ,    ,0,0,+0000.0,20020329,20020329
991200,99999,RUSSIAN ICE ISLAND           ,US,  ,    ,0,0,+0000.0,20020516,20020516
992000,99999,DATA BUOY 42037              ,US,  ,    ,24.5,-81.400,+0003.0,19950114,19961119
992020,99999,NW HAWAII 170 NM WEST NORTHWE,US,  ,    ,23.43,-162.210,+0000.0,19810625,20081231
992030,99999,GULF OF AK 88NM SOUTH OF KODI,US,  ,    ,56.3,-148.170,+0000.0,19760916,20081231
992040,99999,MID GULF 180 NM SOUTH OF SOUT,US,  ,    ,25.84,-89.660,+0000.0,19771021,20081231
992050,99999,CALIFORNIA - 357NM WEST OF SA,US,  ,    ,37.98,-130.000,+0000.0,19771026,20081231
992060,99999,ENVIRONM BUOY 46041          ,US,  ,DB20,47.4,-124.500,+0003.0,19790914,19970303
992070,99999,HOTEL 200NM EAST OF CAPE MAY ,US,  ,    ,38.47,-70.560,+0000.0,19771026,20081231
992080,99999,BUZZARD'S BAY                ,US,  ,    ,41.4,-71.080,+0012.0,19800120,20041025
992090,99999,MID SUPERIOR 60NM NORTH NORTH,US,  ,    ,48.07,-87.780,+0183.0,19790815,20081114
992100,99999,DATA BUOY 44019              ,US,  ,    ,36.4,-75.200,+0003.0,19810630,20030724
992110,99999,E SUPERIOR 200NM EAST NORTHEA,US,  ,    ,47.57,-86.550,+0183.0,19801029,20081114
992120,99999,BILOXI 22 NM SOUTH-SOUTHEAST ,US,  ,    ,30.09,-88.770,+0000.0,19810214,20081231
992130,99999,W SUPERIOR 48NM NORTH OF IRON,US,  ,    ,47.35,-89.830,+0183.0,19820330,20081114
992140,99999,S MICHIGAN 43NM EAST SOUTHEAS,US,  ,    ,42.68,-87.030,+0176.4,19810715,20081106
992150,99999,S HATTERAS - 250 NM EAST OF C,US,  ,    ,32,-75.083,+0000.0,19771004,20081231
992160,99999,OREGON - 275NM WEST OF COOS B,US,  ,    ,42.58,-130.360,+0000.0,19780201,20081231
992170,99999,S ALEUTIANS                  ,US,  ,    ,51.83,-155.850,+0003.0,19780101,20020618
992180,99999,N MICHIGAN- HALFWAY BETWEEN N,US,  ,    ,45.33,-86.420,+0176.4,19791016,20081108
992200,99999,SE PAPA - 600NM WEST OF EUREK,US,  ,    ,40.8,-137.480,+0000.0,19780201,20081231
992210,99999,WASHINGTON 315NM WEST OF ABER,US,  ,    ,46.05,-131.020,+0000.0,19771210,20081231
992220,99999,S HURON 43NM EAST OF OSCODA  ,US,  ,    ,44.28,-82.420,+0177.0,19820419,20081213
992230,99999,N HURON 37NM NORTHEAST OF ALP,US,  ,    ,45.35,-82.840,+0177.0,19810913,20081123
992240,99999,W ERIE 28NM NORTHWEST OF CLEV,US,  ,    ,41.68,-82.400,+0173.9,19800906,20081205
992250,99999,DATA BUOY 42011              ,US,  ,    ,29.6,-93.500,+0003.0,19820701,20011202
992260,99999,MOORED BUOY 21002            ,US,  ,    ,37.7,134.3,+0000.0,19821209,20030330
992270,99999,MOORED BUOY 21003            ,US,  ,    ,34.7,139.5,+0000.0,19830625,19890309
992280,99999,MOORED BUOY 21004            ,US,  ,    ,29,135,+0001.0,19821209,20000713
992290,99999,ST GEORGES - 8NM WEST NORTHWE,US,  ,    ,41.85,-124.380,+0000.0,19820914,20081231
992310,99999,PT. SAN LUIS  CA - 18 NM SOUT,US,  ,    ,35.1,-121.010,+0000.0,19830811,20041121
992320,99999,ENVIRONM BUOY 42008          ,US,  ,    ,28.7,-95.300,+0010.0,19820208,19950404
992330,99999,DATA BUOY 42009              ,US,  ,    ,29.3,-87.500,+0010.0,19820330,20020510
992340,99999,ENVIRONM BUOY 44002          ,US,  ,    ,40.1,-73.000,+0001.0,19780201,20040901
992350,99999,DATA BUOY 44010              ,US,  ,    ,36.9,-75.700,+0003.0,19780210,20080113
992360,99999,GEORGES BANK 170 NM EAST OF H,US,  ,    ,41.11,-66.620,+0000.0,19850312,20081231
992370,99999,COL RIVER BAR - 78NM SOUTH SO,US,  ,    ,46.144,-124.510,+0000.0,19841011,20081231
992380,99999,CAPE SAN MARTIN - 55NM WEST N,US,  ,    ,35.74,-121.890,+0000.0,19850507,20081231
992390,99999,DATA BUOY 41018              ,US,  ,    ,15,-75.000,+0003.0,19780306,20011221
992400,99999,DELAWARE BAY 26 NM SOUTHEAST ,US,  ,    ,38.46,-74.700,+0000.0,19850312,20081231
992410,99999,MONTEREY - 27NM WEST OF MONTE,US,  ,    ,36.75,-122.420,+0000.0,19771027,20081231
992420,99999,BOSTON 16 NM EAST OF BOSTON  ,US,  ,    ,42.35,-70.690,+0000.0,19850312,20081231
992430,99999,SW HAWAII 215 NM SOUTH SOUTHW,US,  ,    ,17.14,-157.790,+0000.0,19780626,20081231
992440,99999,E GULF 260 NM SOUTH OF PANAMA,US,  ,    ,26.01,-85.910,+0000.0,19780201,20081231
992450,99999,ENVIRONM BUOY 32301          ,US,  ,    ,-10.000,-105.000,+0003.0,19780201,19960305
992460,99999,DATA BUOY 46010              ,US,  ,    ,46.2,-124.200,+0012.0,19800115,19990123
