city,state,time_date,sun_hourly,sun_daily,condition_code
nashville,tn,2021-04-02 21:00:00,NaN,NaN,1.0
councilbluffs,ia,2021-03-14 04:00:00,NaN,NaN,7.0
roundrock,tx,2021-01-13,NaN,NaN,1.0
stockton,ca,2020-12-15,NaN,NaN,1.0
london,,2020-11-26 21:00:00,NaN,NaN,5.0
portland,or,2020-11-16 23:00:00,NaN,NaN,7.0
scappoose,or,2020-11-11 18:00:00,NaN,NaN,5.0
lilesville,nc,2020-10-31 21:00:00,NaN,NaN,5.0
hanover,md,2020-10-31 07:00:00,NaN,NaN,3.0
merced,ca,2020-09-16,NaN,NaN,5.0
augusta,ga,2020-08-18 08:00:00,NaN,NaN,5.0
grandjunction,co,2020-06-06 22:00:00,NaN,NaN,3.0
portland,or,2020-05-10 23:00:00,NaN,NaN,3.0
badger,ia,2020-04-20 23:00:00,NaN,NaN,5.0
sandiego,ca,2020-04-17 21:00:00,NaN,NaN,3.0
orange,ma,2020-04-16 09:00:00,NaN,NaN,5.0
augusta,me,2020-04-13 23:00:00,NaN,NaN,7.0
davie,fl,2020-04-01 21:00:00,NaN,NaN,2.0
mississauga(canada),on,2020-03-28 02:00:00,NaN,NaN,2.0
louisville,,2020-03-21,NaN,NaN,4.0
london(uk/england),,2020-03-08 05:00:00,NaN,NaN,7.0
bohmte(germany),,2020-03-03 21:00:00,0.0,NaN,2.0
st.petersburg,fl,2020-02-22 19:00:00,NaN,NaN,2.0
councilbluffs,ia,2020-02-21 05:00:00,NaN,NaN,1.0
st.petersburg,fl,2020-02-15 19:00:00,NaN,NaN,3.0
atco,nj,2020-02-13 02:00:00,NaN,NaN,7.0
sandiego,ca,2020-02-12 13:00:00,NaN,NaN,1.0
queencharlotteisland,bc,2020-01-25 21:00:00,NaN,NaN,5.0
grandjunction,co,2020-01-12,NaN,NaN,2.0
bellevue,ne,2020-01-11 03:00:00,NaN,NaN,7.0
grandjunction,co,2020-01-11,NaN,NaN,1.0
grandjunction,co,2020-01-10,NaN,NaN,4.0
grandjunction,co,2020-01-09,NaN,NaN,5.0
grandjunction,co,2020-01-08,NaN,NaN,1.0
kalispell,mt,2020-01-07 07:00:00,NaN,NaN,7.0
easthartford,ct,2019-12-28 23:00:00,NaN,NaN,3.0
chilliwack(canada),bc,2019-12-17,NaN,NaN,9.0
cheyenne,wy,2019-12-10 12:00:00,NaN,NaN,2.0
dzilth-na-o-dithle,nm,2019-11-17 01:00:00,NaN,NaN,4.0
gilbert,az,2019-10-25 19:00:00,NaN,NaN,1.0
quincy,ma,2019-10-24 19:00:00,NaN,NaN,2.0
coralsprings,fl,2019-10-16 03:00:00,NaN,NaN,3.0
chicago,il,2019-09-15,NaN,NaN,2.0
rytro(poland),,2019-08-18 09:00:00,NaN,NaN,2.0
spokanevalley,wa,2019-07-30 03:00:00,NaN,NaN,2.0
fargo,nd,2019-07-23 01:00:00,NaN,NaN,1.0
allisonpark,pa,2019-06-27 22:00:00,NaN,NaN,3.0
chicago,il,2019-05-10,NaN,NaN,4.0
mysticisland,nj,2019-05-07 22:00:00,NaN,NaN,1.0
conway,ar,2019-03-06 13:00:00,NaN,NaN,2.0
greenville,sc,2019-03-01 13:00:00,NaN,NaN,5.0
ranchopalosverdes,ca,2019-01-26 01:00:00,NaN,NaN,2.0
spring,tx,2018-12-31 22:00:00,NaN,NaN,4.0
albuquerque,nm,2018-09-23 21:00:00,NaN,NaN,2.0
lasvegas,nv,2018-08-11 12:00:00,NaN,NaN,2.0
boise,id,2018-07-26 04:00:00,NaN,NaN,1.0
layton,ut,2018-04-22 15:00:00,NaN,NaN,2.0
austin,tx,2018-04-07,NaN,NaN,7.0
berg(near)(switzerland),,2018-04-06 20:00:00,0.0,NaN,1.0
mission(canada),bc,2017-07-05 23:00:00,NaN,NaN,5.0
floridacoast(atsea),,2017-06-26 22:00:00,NaN,NaN,25.0
clarksville,tn,2017-04-24,NaN,NaN,8.0
sanpablo,ca,2017-02-20 22:00:00,NaN,NaN,8.0
highwayi-40truckparking,ar,2016-10-07,NaN,679.0,NaN
mountpleasant(canada),bc,2016-07-15,NaN,NaN,5.0
miami,fl,2015-07-26,NaN,273.0,NaN
bremen(germany),,2014-01-06,NaN,6.0,NaN
lancaster,ca,2001-06-02,NaN,0.0,NaN
ft.richardson,ak,1986-11-15,NaN,0.0,NaN
tucson(redingtonpassarea),az,1983-06-30,NaN,822.0,NaN
indianapolis,in,1983-06-30,NaN,552.0,NaN
detroit(metroarea),mi,1978-02-01,NaN,342.0,NaN
baltimore,md,2021-04-11 22:00:00,NaN,NaN,3.0
portjeffersonstation,ny,2021-03-23,NaN,NaN,2.0
iowafalls,ia,2021-02-18 04:00:00,NaN,NaN,14.0
wentzville,mo,2021-02-15 23:00:00,NaN,NaN,14.0
winchester,ky,2020-10-30,NaN,NaN,7.0
brighton(uk/england),,2020-09-27,NaN,NaN,3.0
sanford,nc,2020-09-25 23:00:00,NaN,NaN,9.0
foresthills,pa,2020-09-08 19:00:00,NaN,NaN,2.0
foresthills,pa,2020-09-08 19:00:00,NaN,NaN,2.0
newportnews,va,2020-09-02 01:00:00,NaN,NaN,5.0
sanantonio,tx,2020-08-20 21:00:00,NaN,NaN,2.0
westjordan/midvale,ut,2020-08-11 22:00:00,NaN,NaN,2.0
fresno,ca,2020-08-05 19:00:00,NaN,NaN,1.0
beverly,ma,2020-08-02 05:00:00,NaN,NaN,2.0
spanishfort,al,2020-07-31 23:00:00,NaN,NaN,2.0
sandy,ut,2020-07-21,NaN,NaN,2.0
toronto(canada),on,2020-07-01 23:00:00,NaN,NaN,2.0
grandisland,ny,2020-07-01 13:00:00,NaN,NaN,2.0
wilmington,de,2020-05-24 21:00:00,NaN,NaN,4.0
eudora,ks,2020-04-25 21:00:00,NaN,NaN,8.0
st.louis,mo,2020-04-16 22:00:00,NaN,NaN,4.0
miami,fl,2020-04-12 02:00:00,NaN,NaN,7.0
elgin,il,2020-04-05 14:00:00,NaN,NaN,3.0
babylon,ny,2020-04-01 21:00:00,NaN,NaN,3.0
juneau,ak,2020-03-23 12:00:00,NaN,NaN,1.0
lasvegas,nv,2020-03-11 07:00:00,NaN,NaN,7.0
atlanta,ga,2020-01-02,NaN,NaN,3.0
lasvegas,nv,2019-12-14,NaN,NaN,3.0
patchoguevillage,ny,2019-11-21 22:00:00,NaN,NaN,3.0
dearborn,mi,2019-11-17 18:00:00,NaN,NaN,3.0
gilbert,az,2019-11-05 23:00:00,NaN,NaN,2.0
williamsonvalley,az,2019-11-01 18:00:00,NaN,NaN,1.0
paducah,ky,2019-09-30 22:00:00,NaN,NaN,5.0
flushing(queens),ny,2019-08-04 16:00:00,NaN,NaN,2.0
carrollton,tx,2019-07-20 13:00:00,NaN,NaN,2.0
sandy,or,2019-07-14 21:00:00,NaN,NaN,2.0
littleton/chatfieldarea,co,2019-07-02 10:00:00,NaN,NaN,2.0
proctor,mn,2019-06-01,NaN,NaN,1.0
bismarck/mandan(between),nd,2019-04-20 14:00:00,NaN,NaN,1.0
levittown,ny,2019-04-05 02:00:00,NaN,NaN,2.0
windsor(canada),on,2019-03-30 01:00:00,NaN,NaN,7.0
tigard,or,2019-03-17 01:00:00,NaN,NaN,3.0
losangeles,ca,2019-02-28 18:00:00,NaN,NaN,3.0
damascus,or,2019-02-18 19:00:00,NaN,NaN,5.0
cloquet,mn,2019-01-21,NaN,NaN,14.0
