irmo, sc, 2021-04-17 06:21:00, H: NaN, D: NaN, COCO: NaN
sanford, fl, 2021-04-16 23:15:00, H: NaN, D: NaN, COCO: NaN
sanford, fl, 2021-04-16 22:49:00, H: NaN, D: NaN, COCO: NaN
imperial, mo, 2021-04-16 14:42:00, H: NaN, D: NaN, COCO: NaN
jonesboro, ar, 2021-04-15 05:13:00, H: NaN, D: NaN, COCO: NaN
oaklandon, in, 2021-04-13 23:38:00, H: NaN, D: NaN, COCO: NaN
spokane, wa, 2021-04-10 16:28:00, H: NaN, D: NaN, COCO: NaN
santabarbara, ca, 2021-04-09 06:04:00, H: NaN, D: NaN, COCO: NaN
midland, tx, 2021-04-07 21:08:00, H: NaN, D: NaN, COCO: NaN
midland, tx, 2021-04-07 21:08:00, H: NaN, D: NaN, COCO: NaN
wichita, ks, 2021-04-06 12:30:00, H: NaN, D: NaN, COCO: NaN
norwalk, ct, 2021-04-05 20:51:00, H: NaN, D: NaN, COCO: NaN
windham, oh, 2021-04-03 11:35:00, H: NaN, D: NaN, COCO: NaN
pinecity, ny, 2021-04-03 05:43:00, H: NaN, D: NaN, COCO: NaN
nashville, tn, 2021-04-02 21:00:00, H: NaN, D: NaN, COCO: 1.0
doylestown, pa, 2021-04-02 21:00:00, H: NaN, D: NaN, COCO: NaN
whately, ma, 2021-04-02 06:57:00, H: NaN, D: NaN, COCO: NaN
hanover, md, 2021-03-31 08:59:00, H: NaN, D: NaN, COCO: NaN
erie, co, 2021-03-30 21:03:00, H: NaN, D: NaN, COCO: NaN
springfield, mo, 2021-03-30 11:35:00, H: NaN, D: NaN, COCO: NaN
uvalde, tx, 2021-03-29 13:12:00, H: NaN, D: NaN, COCO: NaN
eads, tn, 2021-03-29 05:16:00, H: NaN, D: NaN, COCO: NaN
westchazy, ny, 2021-03-27 01:57:00, H: NaN, D: NaN, COCO: NaN
youngstown, oh, 2021-03-26 20:14:00, H: NaN, D: NaN, COCO: NaN
